name,display_name,data_type,chart_type
"Japan, CPI, Energy, cntr to YoY chg in CPI, ppts","Japan, CPI, Energy, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Culture & recreation, Recreational services, Hotel charges, cntr to YoY chg in CPI, ppts","Japan, CPI, Culture & recreation, Recreational services, Hotel charges, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Transportation & communication, Communication, Telephone charges mobile phone, cntr to YoY chg in CPI, ppts","Japan, CPI, Transportation & communication, Communication, Telephone charges mobile phone, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Education, School fees, cntr to YoY chg in CPI, ppts","Japan, CPI, Education, School fees, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Goods, cntr to YoY chg in CPI, ppts","Japan, CPI, Goods, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Fresh food, cntr to YoY chg in CPI, ppts","Japan, CPI, Fresh food, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Services, temporary factors, cntr to YoY chg in CPI, ppts","Japan, CPI, Services, temporary factors, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Services, excl temporary factors, cntr to YoY chg in CPI, ppts","Japan, CPI, Services, excl temporary factors, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, Goods excluding fresh food and energy, cntr to YoY chg in CPI, ppts","Japan, CPI, Goods excluding fresh food and energy, cntr to YoY chg in CPI, ppts",None,line
"Japan, CPI, All items, DI, CPI items falling, % of total","Japan, CPI, All items, DI, CPI items falling, % of total",None,line
"Japan, CPI, All items, DI, CPI items rising, % of total","Japan, CPI, All items, DI, CPI items rising, % of total",None,line
"Japan, CPI, All items, DI, CPI items unchanged, % of total","Japan, CPI, All items, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, All items, Calculated mean, % YoY","Japan, CPI, All items, Calculated mean, % YoY",None,line
"Japan, CPI, All items, Calculated median, % YoY","Japan, CPI, All items, Calculated median, % YoY",None,line
"Japan, CPI, All items ex fresh food, DI, CPI items falling, % of total","Japan, CPI, All items ex fresh food, DI, CPI items falling, % of total",None,line
"Japan, CPI, All items ex fresh food, DI, CPI items rising, % of total","Japan, CPI, All items ex fresh food, DI, CPI items rising, % of total",None,line
"Japan, CPI, All items ex fresh food, DI, CPI items unchanged, % of total","Japan, CPI, All items ex fresh food, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, All items ex fresh food, Calculated mean, % YoY","Japan, CPI, All items ex fresh food, Calculated mean, % YoY",None,line
"Japan, CPI, All items ex fresh food, Calculated median, % YoY","Japan, CPI, All items ex fresh food, Calculated median, % YoY",None,line
"Japan, CPI, All items ex food, DI, CPI items falling, % of total","Japan, CPI, All items ex food, DI, CPI items falling, % of total",None,line
"Japan, CPI, All items ex food, DI, CPI items rising, % of total","Japan, CPI, All items ex food, DI, CPI items rising, % of total",None,line
"Japan, CPI, All items ex food, DI, CPI items unchanged, % of total","Japan, CPI, All items ex food, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, All items ex food, Calculated mean, % YoY","Japan, CPI, All items ex food, Calculated mean, % YoY",None,line
"Japan, CPI, All items ex food, Calculated median, % YoY","Japan, CPI, All items ex food, Calculated median, % YoY",None,line
"Japan, CPI, Food, DI, CPI items falling, % of total","Japan, CPI, Food, DI, CPI items falling, % of total",None,line
"Japan, CPI, Food, DI, CPI items rising, % of total","Japan, CPI, Food, DI, CPI items rising, % of total",None,line
"Japan, CPI, Food, DI, CPI items unchanged, % of total","Japan, CPI, Food, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Food, Calculated mean, % YoY","Japan, CPI, Food, Calculated mean, % YoY",None,line
"Japan, CPI, Food, Calculated median, % YoY","Japan, CPI, Food, Calculated median, % YoY",None,line
"Japan, CPI, Public services, DI, CPI items falling, % of total","Japan, CPI, Public services, DI, CPI items falling, % of total",None,line
"Japan, CPI, Public services, DI, CPI items rising, % of total","Japan, CPI, Public services, DI, CPI items rising, % of total",None,line
"Japan, CPI, Public services, DI, CPI items unchanged, % of total","Japan, CPI, Public services, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Public services, Calculated mean, % YoY","Japan, CPI, Public services, Calculated mean, % YoY",None,line
"Japan, CPI, Public services, Calculated median, % YoY","Japan, CPI, Public services, Calculated median, % YoY",None,line
"Japan, CPI, Private services, DI, CPI items falling, % of total","Japan, CPI, Private services, DI, CPI items falling, % of total",None,line
"Japan, CPI, Private services, DI, CPI items rising, % of total","Japan, CPI, Private services, DI, CPI items rising, % of total",None,line
"Japan, CPI, Private services, DI, CPI items unchanged, % of total","Japan, CPI, Private services, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Private services, Calculated mean, % YoY","Japan, CPI, Private services, Calculated mean, % YoY",None,line
"Japan, CPI, Private services, Calculated median, % YoY","Japan, CPI, Private services, Calculated median, % YoY",None,line
"Japan, CPI, Market services, DI, CPI items falling, % of total","Japan, CPI, Market services, DI, CPI items falling, % of total",None,line
"Japan, CPI, Market services, DI, CPI items rising, % of total","Japan, CPI, Market services, DI, CPI items rising, % of total",None,line
"Japan, CPI, Market services, DI, CPI items unchanged, % of total","Japan, CPI, Market services, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Market services, Calculated mean, % YoY","Japan, CPI, Market services, Calculated mean, % YoY",None,line
"Japan, CPI, Market services, Calculated median, % YoY","Japan, CPI, Market services, Calculated median, % YoY",None,line
"Japan, CPI, Market services excl eating out, DI, CPI items falling, % of total","Japan, CPI, Market services excl eating out, DI, CPI items falling, % of total",None,line
"Japan, CPI, Market services excl eating out, DI, CPI items rising, % of total","Japan, CPI, Market services excl eating out, DI, CPI items rising, % of total",None,line
"Japan, CPI, Market services excl eating out, DI, CPI items unchanged, % of total","Japan, CPI, Market services excl eating out, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Market services excl eating out, Calculated mean, % YoY","Japan, CPI, Market services excl eating out, Calculated mean, % YoY",None,line
"Japan, CPI, Market services excl eating out, Calculated median, % YoY","Japan, CPI, Market services excl eating out, Calculated median, % YoY",None,line
"Japan, CPI, Meals out, DI, CPI items falling, % of total","Japan, CPI, Meals out, DI, CPI items falling, % of total",None,line
"Japan, CPI, Meals out, DI, CPI items rising, % of total","Japan, CPI, Meals out, DI, CPI items rising, % of total",None,line
"Japan, CPI, Meals out, DI, CPI items unchanged, % of total","Japan, CPI, Meals out, DI, CPI items unchanged, % of total",None,line
"Japan, CPI, Meals out, Calculated mean, % YoY","Japan, CPI, Meals out, Calculated mean, % YoY",None,line
"Japan, CPI, Meals out, Calculated median, % YoY","Japan, CPI, Meals out, Calculated median, % YoY",None,line
"Japan, CPI, All items, Trimmed mean, % YoY","Japan, CPI, All items, Trimmed mean, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Babies' clothes, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Babies' clothes, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Children's trousers for autumn & winter, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Children's trousers for autumn & winter, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Children's trousers for spring & summer, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Children's clothing, Children's trousers for spring & summer, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Boys' school uniforms, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Boys' school uniforms, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's coats, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's coats, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's jackets, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's jackets, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks for autumn & winter, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks for autumn & winter, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks for spring & summer, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks for spring & summer, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks jeans, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's slacks jeans, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for autumn & winter, medium, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for autumn & winter, medium, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for autumn & winter, ordinary, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for autumn & winter, ordinary, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for spring & summer, medium, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for spring & summer, medium, % YoY",None,line
"Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for spring & summer, ordinary, % YoY","Japan, CPI, Clothes & footwear, Clothes, Clothing, Men's clothing, Men's suits for spring & summer, ordinary, % YoY",None,line
