raw_data_name,data_type,cleaned_name
"Exports, Taiwan, Work day adjusted, USD bn",b,"Exports, Taiwan, Work day adjusted, Value, USD"
"Exports, India, Work day adjusted, USD bn",b,"Exports, India, Work day adjusted, Value, USD"
"Exports, Singapore, Work day adjusted, USD bn",b,"Exports, Singapore, Work day adjusted, Value, USD"
"Exports, Malaysia, Work day adjusted, USD bn",b,"Exports, Malaysia, Work day adjusted, Value, USD"
"Exports, Country, Other, Work day adjusted, USD bn",b,"Exports, Country, Other, Work day adjusted, Value, USD"
"Exports, ASEAN Three and India, Work day adjusted, USD bn",b,"Exports, ASEAN Three and India, Work day adjusted, Value, USD"
"Exports, North Asia, Work day adjusted, USD bn",b,"Exports, North Asia, Work day adjusted, Value, USD"
"Exports, DM, Work day adjusted, USD bn",b,"Exports, DM, Work day adjusted, Value, USD"
"Exports, China and Hong Kong, Work day adjusted, USD bn",b,"Exports, China and Hong Kong, Work day adjusted, Value, USD"
"Imports, China, Work day adjusted, USD bn",b,"Imports, China, Work day adjusted, Value, USD"
"Imports, US, Work day adjusted, USD bn",b,"Imports, US, Work day adjusted, Value, USD"
"Imports, EU, Work day adjusted, USD bn",b,"Imports, EU, Work day adjusted, Value, USD"
"Imports, Japan, Work day adjusted, USD bn",b,"Imports, Japan, Work day adjusted, Value, USD"
"Imports, Vietnam, Work day adjusted, USD bn",b,"Imports, Vietnam, Work day adjusted, Value, USD"
"Imports, Australia, Work day adjusted, USD bn",b,"Imports, Australia, Work day adjusted, Value, USD"
"Imports, Taiwan, Work day adjusted, USD bn",b,"Imports, Taiwan, Work day adjusted, Value, USD"
"Imports, Saudi Arabia, Work day adjusted, USD bn",b,"Imports, Saudi Arabia, Work day adjusted, Value, USD"
"Imports, Russia, Work day adjusted, USD bn",b,"Imports, Russia, Work day adjusted, Value, USD"
"Imports, Malaysia, Work day adjusted, USD bn",b,"Imports, Malaysia, Work day adjusted, Value, USD"
"Imports, Country, Other, Work day adjusted, USD bn",b,"Imports, Country, Other, Work day adjusted, Value, USD"
"Imports, Commodity producers, Work day adjusted, USD bn",b,"Imports, Commodity producers, Work day adjusted, Value, USD"
"Imports, North Asia, Work day adjusted, USD bn",b,"Imports, North Asia, Work day adjusted, Value, USD"
"Exports, Semiconductors, Work day adjusted, USD bn",b,"Exports, Semiconductors, Work day adjusted, Value, USD"
"Exports, Steel products, Work day adjusted, USD bn",b,"Exports, Steel products, Work day adjusted, Value, USD"
"Exports, Autos, Work day adjusted, USD bn",b,"Exports, Autos, Work day adjusted, Value, USD"
"Exports, Petroleum products, Work day adjusted, USD bn",b,"Exports, Petroleum products, Work day adjusted, Value, USD"
"Exports, Wireless communication equipment, Work day adjusted, USD bn",b,"Exports, Wireless communication equipment, Work day adjusted, Value, USD"
"Exports, Ships, Work day adjusted, USD bn",b,"Exports, Ships, Work day adjusted, Value, USD"
"Exports, Automobile parts, Work day adjusted, USD bn",b,"Exports, Automobile parts, Work day adjusted, Value, USD"
"Exports, Computer peripherals, Work day adjusted, USD bn",b,"Exports, Computer peripherals, Work day adjusted, Value, USD"
"Exports, Precision equipment, Work day adjusted, USD bn",b,"Exports, Precision equipment, Work day adjusted, Value, USD"
"Exports, Home appliances, Work day adjusted, USD bn",b,"Exports, Home appliances, Work day adjusted, Value, USD"
"Exports, All, Work day adjusted, USD bn",b,"Exports, All, Work day adjusted, Value, USD"
"Exports, Product, Other, Work day adjusted, USD bn",b,"Exports, Product, Other, Work day adjusted, Value, USD"
"Exports, All ex ships, Work day adjusted, USD bn",b,"Exports, All ex ships, Work day adjusted, Value, USD"
"Exports, Tech, Work day adjusted, USD bn",b,"Exports, Tech, Work day adjusted, Value, USD"
"Exports, Auto and parts, Work day adjusted, USD bn",b,"Exports, Auto and parts, Work day adjusted, Value, USD"
"Exports, Other products inc Home appliances, Work day adjusted, USD bn",b,"Exports, Other products inc Home appliances, Work day adjusted, Value, USD"
"Imports, Semiconductors, Work day adjusted, USD bn",b,"Imports, Semiconductors, Work day adjusted, Value, USD"
"Imports, Crude oil, Work day adjusted, USD bn",b,"Imports, Crude oil, Work day adjusted, Value, USD"
"Imports, Machinery, Work day adjusted, USD bn",b,"Imports, Machinery, Work day adjusted, Value, USD"
"Imports, Gas, Work day adjusted, USD bn",b,"Imports, Gas, Work day adjusted, Value, USD"
"Imports, Semiconductor mfg equipment, Work day adjusted, USD bn",b,"Imports, Semiconductor mfg equipment, Work day adjusted, Value, USD"
"Imports, Precision equipment, Work day adjusted, USD bn",b,"Imports, Precision equipment, Work day adjusted, Value, USD"
"Imports, Petroleum products, Work day adjusted, USD bn",b,"Imports, Petroleum products, Work day adjusted, Value, USD"
"Imports, Wireless communication equipment, Work day adjusted, USD bn",b,"Imports, Wireless communication equipment, Work day adjusted, Value, USD"
"Imports, Autos, Work day adjusted, USD bn",b,"Imports, Autos, Work day adjusted, Value, USD"
"Imports, Coal, Work day adjusted, USD bn",b,"Imports, Coal, Work day adjusted, Value, USD"
"Imports, All, Work day adjusted, USD bn",b,"Imports, All, Work day adjusted, Value, USD"
"Imports, Product, Other, Work day adjusted, USD bn",b,"Imports, Product, Other, Work day adjusted, Value, USD"
"Imports, Energy, Work day adjusted, USD bn",b,"Imports, Energy, Work day adjusted, Value, USD"
"Exports, ASEAN, Work day adjusted, USD bn",b,"Exports, ASEAN, Work day adjusted, Value, USD"
"Exports, Africa, Work day adjusted, USD bn",b,"Exports, Africa, Work day adjusted, Value, USD"
"Exports, Asia, Work day adjusted, USD bn",b,"Exports, Asia, Work day adjusted, Value, USD"
