name,display_name,data_type,chart_type
"Taiwan, CPI, All items excluding food and energy","Taiwan, CPI, All items excluding food and energy",None,line
"Taiwan, CPI, All items excluding fruits and vegetables and fish and seafood and energy","Taiwan, CPI, All items excluding fruits and vegetables and fish and seafood and energy",None,line
"Taiwan, CPI, All items excluding imputed rent","Taiwan, CPI, All items excluding imputed rent",None,line
"Taiwan, EPI, USD basis, Index","Taiwan, EPI, USD basis, Index",None,line
"Taiwan, EPI, USD basis, Animal products, Index","Taiwan, EPI, USD basis, Animal products, Index",None,line
"Taiwan, EPI, USD basis, Animal products, Fish and crustaceans, Index","Taiwan, EPI, USD basis, Animal products, Fish and crustaceans, Index",None,line
"Taiwan, EPI, USD basis, Vegetable products, Index","Taiwan, EPI, USD basis, Vegetable products, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Preparations of cereals, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Preparations of cereals, Index",None,line
"Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Beverages and spirits, Index","Taiwan, EPI, USD basis, Prepared foodstuffs and beverages, Beverages and spirits, Index",None,line
"Taiwan, EPI, USD basis, Mineral products, Index","Taiwan, EPI, USD basis, Mineral products, Index",None,line
"Taiwan, EPI, USD basis, Mineral products, Energy minerals, Index","Taiwan, EPI, USD basis, Mineral products, Energy minerals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Inorganic chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Inorganic chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Organic chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Organic chemicals, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Ch.pharmaceutical products, Index","Taiwan, EPI, USD basis, Chemicals, Ch.pharmaceutical products, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Colouring matter and paints, Index","Taiwan, EPI, USD basis, Chemicals, Colouring matter and paints, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Surface-active agents, Index","Taiwan, EPI, USD basis, Chemicals, Surface-active agents, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Photographic or cinematographic, Index","Taiwan, EPI, USD basis, Chemicals, Photographic or cinematographic, Index",None,line
"Taiwan, EPI, USD basis, Chemicals, Miscellaneous chemicals, Index","Taiwan, EPI, USD basis, Chemicals, Miscellaneous chemicals, Index",None,line
"Taiwan, EPI, USD basis, Plastics and rubber, Index","Taiwan, EPI, USD basis, Plastics and rubber, Index",None,line
"Taiwan, EPI, USD basis, Plastics and rubber, Plastics, Index","Taiwan, EPI, USD basis, Plastics and rubber, Plastics, Index",None,line
"Taiwan, EPI, USD basis, Plastics and rubber, Rubber, Index","Taiwan, EPI, USD basis, Plastics and rubber, Rubber, Index",None,line
"Taiwan, EPI, USD basis, Leather, Index","Taiwan, EPI, USD basis, Leather, Index",None,line
"Taiwan, EPI, USD basis, Leather, Leather, Index","Taiwan, EPI, USD basis, Leather, Leather, Index",None,line
"Taiwan, EPI, USD basis, Wood pulp and paper, Index","Taiwan, EPI, USD basis, Wood pulp and paper, Index",None,line
"Taiwan, EPI, USD basis, Wood pulp and paper, Wood pulp, Index","Taiwan, EPI, USD basis, Wood pulp and paper, Wood pulp, Index",None,line
"Taiwan, EPI, USD basis, Wood pulp and paper, Paper, Index","Taiwan, EPI, USD basis, Wood pulp and paper, Paper, Index",None,line
"Taiwan, EPI, USD basis, Textiles and textile articles, Index","Taiwan, EPI, USD basis, Textiles and textile articles, Index",None,line
"Taiwan, EPI, USD basis, Textiles and textile articles, Cotton, Index","Taiwan, EPI, USD basis, Textiles and textile articles, Cotton, Index",None,line
"Taiwan, EPI, USD basis, Textiles and textile articles, Manmade filaments, Index","Taiwan, EPI, USD basis, Textiles and textile articles, Manmade filaments, Index",None,line
