name,display_name,data_type,chart_type
"China, Business, PBC survey, Composite, Cash Inflow From Sales","China, Business, PBC survey, Composite, Cash Inflow From Sales",None,line
"China, Business, PBC survey, Composite, General Business Condition","China, Business, PBC survey, Composite, General Business Condition",None,line
"China, Business, PBC survey, Composite, Profitability","China, Business, PBC survey, Composite, Profitability",None,line
"China, Bank, PBC survey, Macro heat index","China, Bank, PBC survey, Macro heat index",None,line
"China, Bank, PBC survey, Macro sentiment","China, Bank, PBC survey, Macro sentiment",None,line
"China, Bank, PBC survey, Loan demand","China, Bank, PBC survey, Loan demand",None,line
"China, Bank, PBC survey, Loan demand, Manufacturing","China, Bank, PBC survey, Loan demand, Manufacturing",None,line
"China, Bank, PBC survey, Loan demand, Non-manufacturing","China, Bank, PBC survey, Loan demand, Non-manufacturing",None,line
"China, Bank, PBC survey, Loan demand, Infrastructure","China, Bank, PBC survey, Loan demand, Infrastructure",None,line
"China, Bank, PBC survey, Loan demand, Large firms","China, Bank, PBC survey, Loan demand, Large firms",None,line
"China, Bank, PBC survey, Loan demand, Medium firms","China, Bank, PBC survey, Loan demand, Medium firms",None,line
"China, Bank, PBC survey, Loan demand, Small and micro","China, Bank, PBC survey, Loan demand, Small and micro",None,line
"China, Bank, PBC survey, Loan approval","China, Bank, PBC survey, Loan approval",None,line
"China, Bank, PBC survey, Industry climate","China, Bank, PBC survey, Industry climate",None,line
"China, Bank, PBC survey, Profitability","China, Bank, PBC survey, Profitability",None,line
"China, Business, PBC survey, Composite, Macro heat index, SA","China, Business, PBC survey, Composite, Macro heat index, SA",None,line
"China, Business, PBC survey, Composite, Output price, SA","China, Business, PBC survey, Composite, Output price, SA",None,line
"China, Business, PBC survey, Composite, Input price, SA","China, Business, PBC survey, Composite, Input price, SA",None,line
"China, Business, PBC survey, Composite, Domestic orders, SA","China, Business, PBC survey, Composite, Domestic orders, SA",None,line
"China, Business, PBC survey, Composite, Export orders, SA","China, Business, PBC survey, Composite, Export orders, SA",None,line
"China, Business, PBC survey, Composite, Fund turnover, SA","China, Business, PBC survey, Composite, Fund turnover, SA",None,line
"China, Business, PBC survey, Composite, Cash Inflow From Sales, SA","China, Business, PBC survey, Composite, Cash Inflow From Sales, SA",None,line
"China, Business, PBC survey, Composite, General Business Condition, SA","China, Business, PBC survey, Composite, General Business Condition, SA",None,line
"China, Business, PBC survey, Composite, Profitability, SA","China, Business, PBC survey, Composite, Profitability, SA",None,line
"China, Bank, PBC survey, Macro heat index, SA","China, Bank, PBC survey, Macro heat index, SA",None,line
"China, Bank, PBC survey, Loan demand, SA","China, Bank, PBC survey, Loan demand, SA",None,line
"China, Bank, PBC survey, Loan demand, Manufacturing, SA","China, Bank, PBC survey, Loan demand, Manufacturing, SA",None,line
"China, Bank, PBC survey, Loan demand, Infrastructure, SA","China, Bank, PBC survey, Loan demand, Infrastructure, SA",None,line
"China, Bank, PBC survey, Loan demand, Large firms, SA","China, Bank, PBC survey, Loan demand, Large firms, SA",None,line
