Date,"CPI, All items","CPI, Excluding Food & Energy","CPI, Goods","CPI, Goods, Durable goods","CPI, Services","CPI, Services, Rents","CPI, Services, Public services","CPI, Services, Personal services","CPI, All items, % YoY","CPI, Excluding Food & Energy, % YoY","CPI, Goods, % YoY","CPI, Goods, Durable goods, % YoY","CPI, Services, % YoY","CPI, Services, Rents, % YoY","CPI, Services, Public services, % YoY","CPI, Services, Personal services, % YoY","CPI, All items, % YoY, 3mma","CPI, Excluding Food & Energy, % YoY, 3mma","CPI, Goods, % YoY, 3mma","CPI, Goods, Durable goods, % YoY, 3mma","CPI, Services, % YoY, 3mma","CPI, Services, Rents, % YoY, 3mma","CPI, Services, Public services, % YoY, 3mma","CPI, Services, Personal services, % YoY, 3mma","CPI, All items, SA","CPI, Excluding Food & Energy, SA","CPI, Goods, SA","CPI, Goods, Durable goods, SA","CPI, Services, SA","CPI, Services, Public services, SA","CPI, Services, Personal services, SA","CPI, Services, Rents, SA","CPI, All items, SA, % MoM annualised","CPI, Excluding Food & Energy, SA, % MoM annualised","CPI, Goods, SA, % MoM annualised","CPI, Goods, Durable goods, SA, % MoM annualised","CPI, Services, SA, % MoM annualised","CPI, Services, Public services, SA, % MoM annualised","CPI, Services, Personal services, SA, % MoM annualised","CPI, Services, Rents, SA, % MoM annualised","CPI, All items, SA, % MoM annualised, 3mma","CPI, Excluding Food & Energy, SA, % MoM annualised, 3mma","CPI, Goods, SA, % MoM annualised, 3mma","CPI, Goods, Durable goods, SA, % MoM annualised, 3mma","CPI, Services, SA, % MoM annualised, 3mma","CPI, Services, Public services, SA, % MoM annualised, 3mma","CPI, Services, Personal services, SA, % MoM annualised, 3mma","CPI, Services, Rents, SA, % MoM annualised, 3mma","CPI, All items, 10pc Trimmed mean, % YoY","CPI, All items, 20pc Trimmed mean, % YoY","CPI, Food and non-alcoholic beverages, % YoY","CPI, Alcoholic beverages and tobacco, % YoY","CPI, Clothing and footwear, % YoY","CPI, Housing, water, electricity and other fuels, % YoY","CPI, Furnishings, household equipment and routine household maintenance, % YoY","CPI, Health, % YoY","CPI, Transport, % YoY","CPI, Communication, % YoY","CPI, Recreation and culture, % YoY","CPI, Education, % YoY","CPI, Restaurants and hotels, % YoY","CPI, Miscellaneous goods and services, % YoY","CPI, Food and non-alcoholic beverages, % YoY, 3mma","CPI, Alcoholic beverages and tobacco, % YoY, 3mma","CPI, Clothing and footwear, % YoY, 3mma","CPI, Housing, water, electricity and other fuels, % YoY, 3mma","CPI, Furnishings, household equipment and routine household maintenance, % YoY, 3mma","CPI, Health, % YoY, 3mma","CPI, Transport, % YoY, 3mma","CPI, Communication, % YoY, 3mma","CPI, Recreation and culture, % YoY, 3mma","CPI, Education, % YoY, 3mma","CPI, Restaurants and hotels, % YoY, 3mma","CPI, Miscellaneous goods and services, % YoY, 3mma"
2020-04-01,99.5,99.79,99.42,99.17,99.91,99.86,100.59,99.65,0.019099124455923544,0.09529063644115876,-0.5491702427752543,-1.3459606259264012,0.1714474779173525,0.020032051282048435,-1.6215476097331982,1.0106129565243815,0.5667507227813914,0.2261271828849054,0.9744738536704878,-0.6682944936555376,0.18384661269329902,-0.045372064773100775,-1.6266272943417572,1.041650697132817,99.4322013751465,99.698933171848,99.3810055521789,98.9111841010021,99.7485889274939,100.493379935009,99.4313598844191,99.8335263471742,-4.863194100365142,-0.2159826342449156,-13.180191243539774,-0.7265394815925585,0.09012975735771533,0.2992287934881377,0.3966275003654207,0.38954860443487505,-2.8466724175083193,-0.4415345579356707,-7.121935988294969,-2.186299411279053,-0.5150549383096968,0.08372644798692781,-0.4798434115609062,0.2572630246562069,0.7378560333427732,0.6999819690454068,1.3829190805457081,0.5904639071379725,0.425428712901299,1.0673581378520147,-0.8735358348223143,1.965327317439991,-2.470005656501506,-1.0946089775512369,-1.8747232199970543,-2.532631989090195,0.8006964338134859,1.4155754089666628,1.4273427991562393,0.8687210151025063,0.41802490182315893,0.9649686765808315,-0.4769602463905744,2.005142995372533,2.1947985791520415,-1.3938691887679007,-1.508137319891086,-2.4997857268895545,0.8218530333660526,1.80185837668696
2020-05-01,99.44,99.93,98.93,99.57,99.92,99.88,100.46,99.71,-0.212740336370576,0.22566571385589373,-1.7820799205758076,-0.3033852993301611,0.1443232841565223,0.06913065694160725,-1.8149476626562522,1.0161386730424438,0.2108738795136178,0.17596667113360573,-0.3543355266865518,-0.8818991048450853,0.1668143229689155,0.01336778213194556,-1.6859085882736988,1.0198406778789926,99.3801983243745,99.8018579384479,98.7295005222383,99.6695494517143,99.7833102749051,100.398118022008,99.515482764359,99.8642211374831,-0.6257979655510226,1.2458851630368306,-7.589219450809514,9.598630901610484,0.4185069509824224,-1.1316185854631011,1.0199851821301786,0.3695762387842194,-2.2604545957014004,-0.4737065140408947,-10.76388490029565,-1.6534081887921477,-0.2227538746872392,-0.3669683423630203,-0.20058996769650758,0.22608019931421217,0.8166095481494446,0.7435468352263864,2.749018952993243,0.26181424229354544,0.8944616068003342,0.6266570257893456,0.48643498320044554,1.9752885709640733,-6.782210404758904,-0.9305192708486176,-1.1660079051383443,-2.7037022618445206,0.8203843278304479,1.4685705574470242,2.2679885025590854,0.6185792190026795,0.629429910382077,0.8788218448686269,-0.30252701648140884,2.0020435466338617,-2.2142207109430907,-1.1538583418173192,-1.4069346989305915,-2.581035999345053,0.8323428971352964,1.5828301265043827
2020-06-01,99.71,100.02,99.54,99.87,99.98,99.91,100.42,99.81,0.22012041290166984,0.3833878640679078,-1.1764705882352788,0.25397271550036127,0.23258611701486576,0.1664260506897719,-1.8166174543890246,1.1266692334191308,0.008826400329005798,0.2347814047883201,-1.1692402505287802,-0.465124403252067,0.1827856263629141,0.08519625297114253,-1.7510375755928251,1.0511402876619866,99.7671502063873,100.002258443682,99.392868321713,100.021349067182,99.9556813521021,100.412089383725,99.7862141999749,99.9276793400531,4.7737516480733655,2.43637056933268,8.367588026954875,4.318793177968017,2.0927536763613253,0.1671193881824129,3.313887673801297,0.7652044583587037,-0.23841347261426696,1.1554243660415315,-4.1339408891314715,4.396961532661981,0.8671301282338207,-0.2217568012641835,1.576833452098965,0.5081097671925994,0.8916310510789982,0.8237520437025142,4.127975687995944,0.07709791435122071,0.8455934289923528,0.6584097797940558,0.3579904267728473,2.113175436108361,-5.487952448716838,-0.19893574277510817,-0.3403839051317026,-2.711168613870052,0.8196390358137906,1.8522291955334502,2.753304573844965,0.3097920212609129,0.7218279162313287,0.7841416478118054,-0.009703474949673238,2.017930441504142,-4.91338950332575,-0.7413546637249876,-1.127038343422367,-2.6491676216015896,0.8135732658192415,1.5787917206490458
2020-07-01,99.63,100.17,99.92,100.59,100.15,99.96,100.47,100.09,0.44663111093188324,0.33354367619218284,-0.4691655626500424,0.5990539148523322,0.1690321161020636,0.2356480320882426,-1.8051741157383394,1.0244764067625534,0.15133706248765902,0.31419908470532815,-1.1425720238203763,0.18321377700751076,0.1819805057578178,0.15706824657320725,-1.812246410927872,1.055761437741377,99.8451689592382,100.057178049921,99.7626729236573,100.547607517662,99.9846083827867,100.43503368695,99.8406076051545,99.9903661237731,0.9424568052279758,0.6610146175118903,4.5572694987080276,6.4997037278387015,0.3478315709179558,0.27454655036605047,0.6560839240622673,0.7553885762704216,1.6968034959167724,1.4477567832938003,1.778546024951129,6.805709269139068,0.9530307327539008,-0.22998421563821259,1.6633189266645807,0.6300564244711149,1.1009969650580993,0.9336187919927179,5.565197023093393,0.0880951427541854,1.1593062324060988,-0.11094260501378628,-0.43544545970883863,1.3377722742128562,-2.875137712174247,0.14466652888902587,-1.4308895117273956,-2.6430732414370106,0.8420289271181547,2.0219091057175342,4.14739722136086,0.14233576646631718,0.9664537560662619,0.391374733523205,0.136326650088152,1.808745427095097,-5.048433521883331,-0.3282628282449,-0.9790937739991475,-2.685981372383861,0.8273507635874644,1.7809029528993363
2020-08-01,100.19,100.36,99.89,100.42,100.44,100.03,100.6,100.51,0.7694241890872533,0.3911212475867565,-0.470297522966856,0.6172097310729097,0.23451923556707666,0.33501845610657277,-1.7261422137993754,1.0811082616784873,0.4787252376402688,0.36935092928228236,-0.7053112246173924,0.4900787871418677,0.21204582289466925,0.24569751296152909,-1.7826445946422467,1.077417967286725,100.11535759896,100.190655650669,99.8688290854446,100.501800190416,100.166606285195,100.580817973637,100.10037041506,100.063449107065,3.2960609148913633,1.6126135815538012,1.2844040067849782,-0.5453264249589918,2.2063123271271357,1.7558071441388101,3.1671968423967245,0.8806147206804393,3.0040897893975678,1.5699995894661238,4.73642051081596,3.424390160282576,1.548965858135472,0.7324910275624245,2.3790561467534292,0.8004025851031882,1.1091774693719412,0.9730165684348326,7.360183925501729,0.040024014408657216,1.1492165349961114,0.1352629491391033,0.2079750429948346,1.2473231774771332,-2.6798857465953008,-0.30489897157871537,-1.7802272838121302,-2.5830042985237167,0.8488623235722637,1.9574693445227442,5.684452212197022,0.06840569050468777,1.0513720654648544,0.22757670797312426,0.04350667001961502,1.5660902959327834,-3.6809919691621302,-0.11972272848826589,-1.1838335668904094,-2.6457487179435932,0.8368434288347363,1.9438692152579096
2020-09-01,100.74,100.16,99.77,100.32,100.22,100.09,100.31,100.22,0.9479527827324308,0.6289308176100628,-0.7934929599872742,0.5663876497418618,0.6053183693546238,0.3952014122933667,-0.7126596060576085,1.2292556791208442,0.7213360275838557,0.4511985804630007,-0.5776520152013909,0.5942170985557013,0.33628990700792194,0.32195596682939404,-1.4146586451984409,1.1116134491872962,100.476261171466,100.290779124876,99.8724619296328,100.375647245975,100.30754826984,100.467740563111,100.341154885121,100.117177336956,4.412659610138903,1.205808513886364,0.043660122526145706,-1.4959212340268535,1.701619253491038,-1.340782426501863,2.9250125213263534,0.6462361684597573,2.883725776752746,1.1598122376506852,1.9617778760063833,1.4861520229509526,1.4185877171787096,0.2298570893343325,2.2494310959284483,0.7607464884702061,1.176093860612706,1.0302286571341073,7.693414453670977,-0.07288848062465547,1.1306215897285865,0.06506180871828082,0.12787852546998213,0.7016974588817559,-3.4754658716825704,-0.6501442049176243,-1.3685933463487787,-1.1491522404014631,1.1711256940938997,2.7314946836680676,6.872931800755366,0.018410225512729046,1.1463814523769322,0.02979405094786595,-0.03319729708134004,1.0955976368572484,-3.010163110150707,-0.2701255492024379,-1.5265700472961015,-2.125076593454063,0.9540056482614393,2.236957711302782
2020-10-01,100.18,99.5,99.81,100.59,99.17,100.19,95.11,100.53,0.1389430333563313,-0.2616252844297784,-1.0920405898208418,0.5889941100589047,-0.6720685890565958,0.48542715583816953,-6.045638644670559,1.2570254426784278,0.6187733350586718,0.25280892692234697,-0.785277024258324,0.5908638302912254,0.0559230052883688,0.4052156747460363,-2.828146821509181,1.1891297944925876,99.9310725037047,99.6048763554661,99.7939796469516,100.454485639814,99.2917204169799,95.336319716787,100.6106111287,100.207120188242,-6.3204085464562905,-7.905192206136613,-0.938925081758557,0.9466024316466148,-11.498008526952397,-46.693401874284945,3.270504996130996,1.0833936897675533,0.4627706595246579,-1.695590036898816,0.12971301585085504,-0.36488174244640953,-2.5300256487780746,-15.426125718882666,3.120904786618025,0.8700815263025833,0.9469962708257185,0.9582517684076672,7.541770516015878,-0.08082138473972655,0.8548041199746281,0.1998800719568372,-0.07661920256325505,0.9668984249893597,-4.38173937387174,-14.11883261097142,-1.4188299565704443,-1.2533607464811025,1.22767407168487,1.933645430490527,7.531789631729528,-0.03789528365190827,1.0448807482331086,0.1334016099380738,0.08641145530052115,0.9719730204494162,-3.5123636640498717,-5.024625262489253,-1.522550195577118,-1.6618390951354274,1.0825540297836778,2.207536486227113
2020-11-01,100.09,100.16,99.61,100.56,100.19,100.28,99.72,100.35,0.6121771996662861,0.6289308176100628,-1.0204994187028693,1.600387972841899,0.5469416428320661,0.5666148523291392,-1.4332311950182919,1.3789968176996403,0.5663576719183494,0.3320787835967824,-0.9686776561703284,0.9185899108808885,0.16006380771003195,0.4824144734868918,-2.7305098152488196,1.288425979832972,100.430634227408,100.420691620424,99.6998337009262,100.459633088061,100.560042025673,100.016828729913,100.837513804083,100.279189826322,6.166593337932791,10.283690112911504,-1.1262280463301466,0.06150724871378799,16.45252920248783,77.73639527024882,2.740129514316303,0.8664702128794444,1.419614800538467,1.194768806887085,-0.6738310018541865,-0.16260385122214963,2.2187133096754903,9.900736989820672,2.9785490105912173,0.8653666903689183,1.0234303011495531,1.0124987929834983,6.5818840274560975,0.020008003201299474,0.3774038220896392,0.12993503248377447,0.37707844435084237,0.8749252308971167,-4.38274059490441,-1.5017798507094726,-0.17184190544698996,-1.2320064811247144,1.0077597500755875,2.1124253735138376,7.2723563323809834,-0.044567287387694186,0.7876098439309512,0.13162563771963084,0.14277925575252373,0.8478403715894108,-4.079981946819575,-5.4235855555328385,-0.986421736122071,-1.21150648933576,1.1355198386181191,2.2591884958908106
2020-12-01,100.33,100.26,99.86,100.25,100.39,100.37,100.12,100.51,0.6127217481121994,0.642441276852046,-1.0032516456499385,1.1757581874148437,0.737544528623757,0.636687221136012,-1.0182896688087029,1.5221760956738661,0.4546139937116056,0.3365822700107768,-1.0385972180578833,1.121713423438549,0.20413919413307635,0.5629097431011069,-2.832386502832518,1.3860661186839793,100.674048502066,100.488451368773,100.089596901731,100.259474337826,100.758974190644,100.44242338322,101.037290088274,100.35959721338,2.9475321708460456,0.8127223411725559,4.7934347809741595,-2.3648882745133104,2.3998910006880703,5.227494053001203,2.40348139669484,0.9664570382640791,0.9312389874408481,1.063740082649149,0.9094272176284847,-0.4522595313843019,2.451470558741168,12.09016248298836,2.8047053023807127,0.9721069803036922,0.9558393952193134,0.9037112820554397,5.768228895325822,-0.12798976081913604,0.43746809085720706,0.08481764206953457,0.22956382872543202,0.6745396722507069,-3.9191263795151032,-0.6027959471591626,0.4727419030376101,-1.229326092322891,1.1431561575462545,1.890361090491255,6.630627812932599,-0.06293438078585438,0.5565586776404915,0.13821091550338208,0.1766743568376737,0.8387877760457277,-4.227868782763752,-5.4078028029466845,-0.3726433196599414,-1.2382311066429026,1.126196659768904,1.9788106314985399
2021-01-01,101.04000091552734,100.55999755859376,100.41999816894533,99.70999908447266,100.88999938964844,100.45999908447266,100.87999725341795,101.02999877929688,0.9491466835121809,0.7211514008351072,-0.8099583475451033,0.030095389719742016,1.0618044572257235,0.6714090434639219,0.04958569217292652,1.6193912485384043,0.7246818770968888,0.6641744984324053,-0.9445698039659703,0.9354138499921616,0.7820968762271828,0.6249037056430243,-0.8006450572180227,1.5068547206373049,101.091832123379,100.517370303514,100.521201656794,99.4813949135014,100.924679447704,100.520196827876,101.173173018725,100.434610911704,5.095085034110691,0.3458875299719555,5.299128601756009,-8.92539091560014,1.9914335060042143,0.9331377559402165,1.6258459033247963,0.9006355043302383,4.736403514296509,3.8140999946853387,2.9887784454666733,-3.7429239804665535,6.947951236393371,27.965675693063414,2.256485604778646,0.9111875851579206,0.6720057042982086,0.6197434687746904,6.41210374639769,-0.009983028850957254,0.5721742621963344,0.17969451931716396,1.637532650190865,-0.17928286852589848,-3.1116186126177614,-1.5186104218362306,0.009988014382722454,0.39054676547165545,1.0730044123546056,2.0221327967806735,6.254072223059869,-0.03932159548959794,0.4623487250477269,0.13148239795682434,0.7480583077557137,0.45672734487397504,-3.804495195679093,-1.2077287399016219,0.10362933732444753,-0.6902619359919834,1.0746401066588158,2.008306420261922
2021-02-01,101.58000183105467,100.6999969482422,100.5500030517578,99.44000244140624,101.16000366210938,100.63999938964844,100.83999633789062,101.45999908447266,1.4177334575226297,0.6295562588610082,-0.8382612901796871,-0.7683839522939384,1.1802397100513895,0.8315793904903668,0.07939295145953373,1.7448847618057206,0.99320062971567,0.6643829788493871,-0.8838237611249097,0.14582320828021578,0.9931962319669573,0.7132252183634336,-0.29643700839208087,1.6288173686726648,101.429469474365,100.548566007514,100.780839293988,99.4296510965283,101.018256785258,100.559140836814,101.315074251791,100.60034258945,4.082337506637135,0.3730580057147881,3.143909869167638,-0.6223802645757948,1.1183312890255426,0.46590158861532505,1.696113684418532,1.998244960837936,4.04165157053129,0.5105559589530998,4.412157750632602,-3.9708864848964147,1.8365519319059418,2.2088444658522506,1.9084803281460558,1.288445834477418,0.603602631842729,0.6678115896378041,9.342023587833648,0.01996207206307332,0.461014231308865,0.12901945216354793,0.4883883185487825,-0.07975276642407936,-2.389110984199505,-1.4399205561072548,0.2003405789842816,0.34986005597761327,1.4149523331660863,1.5740926408662537,7.17411874318572,-0.03933690586900666,0.49021886145413546,0.13117720451674883,0.785161599155027,0.13850134576690967,-3.1399519921107912,-1.187108975034216,0.22769016546820472,-0.16297309029120743,1.2103709676889822,1.8288621760460606
2021-03-01,101.83999633789062,100.81999969482422,101.12999725341795,99.33000183105467,101.3499984741211,100.83999633789062,100.93000030517578,101.69000244140624,1.9011370201026834,1.072681398320019,0.5168445019560153,0.5669756313199104,1.532757437508625,1.0117162555250303,0.3180601383319548,2.2112799692494134,1.4226723870458313,0.8077963526720447,-0.3771250452562584,-0.05710431041809535,1.2582672015952465,0.8382348964931063,0.14901292732147167,1.858518659864514,101.748158061493,100.796871813911,101.026533442198,99.5456488923807,101.281196874241,100.775357291086,101.62186739559,100.80531907786,3.836209171927707,3.003996576192014,2.965033277949769,1.4089760172347976,3.1685817790515935,2.6109029490110514,3.694864848047197,2.472626361585739,4.33787723755851,1.240980703959586,3.802690582957805,-2.7129317209803787,2.0927821913604494,1.3366474311888668,2.3389414785968414,1.7905022755846378,1.2916529367515062,1.130885444427431,7.933918009382013,0.020030045067609414,0.46096803286901356,0.4966229638458497,0.21048411346096252,-0.049820645675568986,2.051433058500196,-1.3312139876813123,0.42253521126758287,0.7397780665800102,1.9296482412060278,1.8964479229379938,7.896015114537783,0.01000302942657516,0.49805217545807096,0.2684456451088539,0.7788016940668706,-0.10295209354184894,-1.149765512772358,-1.4299149885415992,0.2109546015448623,0.4933949626764263,1.4725349955755733,1.8308911201949736
2021-04-01,101.9800033569336,101.01000213623048,101.41000366210938,99.5,101.58999633789062,100.9800033569336,100.95999908447266,102.04000091552734,2.49246568536039,1.2225695322481966,2.0016130176115254,0.33276192396893833,1.681509696617578,1.121573559917488,0.36782889399806784,2.3983952990741075,1.9371120543285676,0.9749357298097413,0.5600654097959512,0.04378453433163676,1.4648356147258648,0.9882897353109618,0.25509399459651877,2.1181866767097484,101.905738883914,100.932940765339,101.269906558315,99.3001850363544,101.43167011047,100.859615175385,101.833658165359,100.953750524972,1.8743933055378914,1.6320003194592703,2.9294132938011197,-2.9192081069946307,1.797477732108499,1.0079419900154596,2.529794689944187,1.781327911022279,3.2643133280342433,1.6696849671220242,3.012785480306175,-0.710870784778542,2.0281302667285446,1.3615821758806144,2.640257740803305,2.0840664111486515,1.72468472852191,1.3960574245937614,7.8853046594981935,0.5509365922067522,0.8251157174481882,0.6066030230708064,0.33046264770679734,-0.30894957145705115,6.542531542531527,-1.9449106525817106,0.6920068197773688,0.8295022986208211,2.3699538059851477,2.715205148833477,8.387082085571285,0.19697623644581164,0.5823659938753556,0.41074847969340134,0.34311169323884805,-0.14617432785223317,2.0682845389440714,-1.5720150654567593,0.4382942033430777,0.6397134737261482,1.9048514601190873,2.061915237545908
2021-05-01,102.0500030517578,101.12000274658205,101.47000122070312,99.16000366210938,101.75,101.13999938964844,100.97000122070312,102.2699966430664,2.6247013794828966,1.1908363320144444,2.567473183769442,-0.4117669357141862,1.8314651721377029,1.261513205495035,0.5076659572995634,2.567442225520411,2.33943469498199,1.1620290875275534,1.695310234445661,0.16265687319155417,1.681910768754636,1.1316010069791844,0.39785166320986204,2.3923724979479783,101.970008284883,100.992045328839,101.240870876719,99.3134754285274,101.610554790866,100.926588297255,102.060705771346,101.128645721914,0.7594406721900926,0.7049666053171588,-0.3435169109122005,0.16072695008664262,2.136966468142587,0.7997443773086532,2.7085657596735535,2.098838186513574,2.1566810498852296,1.780321166989481,1.8503098869462289,-0.4498350465577296,2.367675326434226,1.4728631054450572,2.9777417658883123,2.1175974863738642,1.7058460987020125,1.4048940958700546,6.815642458100557,0.48024012006002703,0.42025215129077864,1.2375249500997887,0.8084639185547582,-0.47827819848546005,8.952737872163219,-2.3407407407407432,0.5098980203959158,0.9202760828248557,2.344924341116328,2.473958333333326,7.544955042326921,0.3504022524447962,0.5687786338693268,0.7802503123388149,0.4498035599075066,-0.2790161385393601,5.848900824398313,-1.8722884603345886,0.5414800171469558,0.8298521493418957,2.2148421294358345,2.3618704683682656
2021-06-01,102.0500030517578,101.13999938964844,101.6999969482422,99.22000122070312,101.81999969482422,101.25,100.9800033569336,102.33999633789062,2.3468087972698948,1.1197754345615207,2.1699788509566,-0.6508448776378128,1.8403677683778819,1.3412070863777492,0.5576611799776865,2.534812481605675,2.487991954037727,1.177727099608054,2.2463550174458558,-0.24328329646102023,1.784447545711055,1.2414312839300907,0.47771867709177257,2.500216668733399,102.057093871056,101.111115753692,101.584883645823,99.4564650039312,101.769227611989,100.972836995618,102.258332445586,101.279475863174,1.0296652170489917,1.424020092067435,4.154630416838256,1.7414836957664326,1.8900721110851837,0.5512771903780189,2.3485439368183147,1.8045164100954914,1.2211663982589913,1.2536623389479546,2.2468422665757246,-0.33899915371385125,1.9415054371120892,0.786321185900713,2.5289681288120183,1.8948941692104482,1.7553327241879784,1.450871836221053,5.958654235914063,0.5702851425712696,0.42025215129077864,1.3161830690995968,1.3126252505009983,-1.0019841269841234,8.091775069138585,-2.9163393558523154,0.05008012820513219,0.9399060093990608,2.4429315178213784,2.0306091827548167,6.8865337845042705,0.5338206182793496,0.5552066733432485,1.053437014090064,0.8171839389208518,-0.5964039656422115,7.862348161277775,-2.400663583058256,0.4173283227928056,0.8965614636149125,2.385936554974285,2.4065908883072065
2021-07-01,102.26000213623048,101.4499969482422,102.33999633789062,99.73999786376952,102.13999938964844,101.38999938964844,101.0500030517578,102.83000183105467,2.63976928257601,1.2778246463434062,2.4219338849986283,-0.8450165386524322,1.9870188613563933,1.4305716182957617,0.5772897897459828,2.7375380468125377,2.5370931531096006,1.1961454709731238,2.386461973241557,-0.6358761173348104,1.8862839339573265,1.3444306367228487,0.5475389756744109,2.613264251312876,102.450134593801,101.331343272512,102.096512614025,99.75184047706,101.957618717262,101.00928932257,102.534109578827,101.437957944417,4.720577989833052,2.645228003308997,6.214019391971126,3.6226706695252187,2.2441487590520337,0.43407467059797256,3.2846770876659326,1.8940048323335956,2.169894626357378,1.591404900231197,3.3417109659657265,1.8416271051260986,2.090395779426601,0.5950320794282172,2.780595594719267,1.932453142980887,1.7510804755628802,1.4179710269108639,5.648008068582944,0.5901180236047132,0.11968880909634105,2.4251069900142586,2.191753402722174,0.07011217948718063,7.4784179883557345,-2.8400157232704393,0.488875586151849,0.9192645883293382,2.776667998401927,1.866081229418226,6.1407682541991875,0.5468810954120032,0.3200643705592994,1.6596050030712146,1.437614190592644,-0.47005004866080097,8.174310309885845,-2.6990319399544993,0.349617911584299,0.926482226851085,2.5215079524465445,2.1235495818354564
2021-08-01,102.75,101.6999969482422,102.73999786376952,99.83999633789062,102.4499969482422,101.58000183105467,101.05999755859376,103.3000030517578,2.555145224074251,1.335190263294339,2.8531363137145993,-0.577577835201526,2.001191704741334,1.549536969963694,0.4572540343874554,2.7758462359544156,2.5139077679733854,1.244263448066422,2.4816830165566093,-0.6911464171639237,1.9428594448252037,1.4404385582124017,0.5307350013703749,2.6827322547908774,102.65899397204,101.531626659265,102.711397486614,99.9409740747298,102.169150506246,101.034604073115,102.863153541528,101.618727509678,2.4739904280197456,2.3977779159654267,7.4713650547299615,2.2991268348727667,2.5182501174995986,0.30115654171476436,3.919642506705223,2.1595693976431685,2.7414112116339293,2.1556753371139528,5.946671621179781,2.5544270667214732,2.2174903292122714,0.4288361342302543,3.184287843729823,1.9526968800240851,1.864733091709309,1.530447102066387,4.322200392927322,0.6801360272054247,0.12967581047380605,2.356286816981523,2.2350828178008264,0.1603849238171584,8.083742362015434,-2.7633002261776007,0.5164365875459209,0.9284216831386471,2.9883454527343423,2.187593646988306,5.309620899141443,0.6135130644604692,0.22320559028697526,2.032525625365126,1.9131538236746668,-0.2571623412265948,7.884645139836583,-2.8398851017667854,0.351797433967634,0.9291974269556821,2.735981656319216,2.0280946863871163
2021-09-01,103.16999816894533,101.58000183105467,102.8000030517578,100.13999938964844,102.26000213623048,101.76000213623048,101.0199966430664,102.93000030517578,2.4121482717345044,1.4177334575226297,3.036988124444018,-0.17942644572523925,2.035523983466847,1.6685004857932562,0.7078024554544982,2.704051392113138,2.535687592794922,1.3435827890534584,2.7706861077190816,-0.5340069398597325,2.0079115165215256,1.5495363580175707,0.5807820931959787,2.7391452249600317,102.914421103474,101.730128492898,102.964244040896,100.226095378133,102.359611127739,101.174670247474,103.065187955833,101.788031729631,3.0269344831083567,2.3714810854513324,2.9943886902716432,3.4777080487714107,2.260082452137535,1.6763258050375152,2.382558838738036,2.017710021568475,3.4071676336537173,2.4714956682419187,5.559924378990909,3.1331685177231328,2.340827109563055,0.803852339116753,3.1956261443697307,2.0237614171817464,1.904399352136226,1.533546047979951,2.9392117568470155,0.659472422062346,0.1196768724444075,2.3106932079624,3.0872888173773205,0.3927096969086774,8.23943661971831,-2.686479039559142,0.5998200539838017,1.0713928106538484,3.223231214449651,1.219391295727168,4.3031400727857605,0.6432421576241613,0.1230138306715182,2.3640290049860604,2.5047083459667743,0.20773560007100547,7.933865656696491,-2.7632649963357276,0.5350440758938572,0.9730263607072779,2.996081555195307,1.7576887240445667
2021-10-01,103.3499984741211,101.83000183105467,103.62999725341795,100.54000091552734,102.45999908447266,101.93000030517578,100.88999938964844,103.27999877929688,3.1643027292085124,2.3417103829695307,3.8272690646407703,-0.049705820133871814,3.317534621833884,1.736700574085015,6.0771731570270715,2.7355006259791814,2.7105320750057564,1.698211367928833,3.239131167599796,-0.26890336702021234,2.4514167700140224,1.6515793432806551,2.414076548956342,2.7384660846822464,103.146330521742,101.964241083487,103.713292846878,100.428975183625,102.606800156274,101.125433363189,103.397152619457,101.95057540999,2.737871211782683,2.796795653902495,9.087717328776556,2.4562922832734646,2.9366906893441014,-0.5824221918033667,3.9343142889098237,1.933180976594362,2.746265374303595,2.5220182184397513,6.5178236912593865,2.744375722305881,2.571674419660411,0.46502005164963994,3.4121718781176944,2.036820131935335,2.3786068842735193,2.031968053579542,1.7835002384358756,0.5192730177751015,0.3194569232304989,2.60323159784559,2.8679545907189796,0.010038144950796912,10.358404846037361,12.087035771246303,0.3189474733379827,1.1411411411411443,3.3754854127252765,2.0666932907348334,3.0149707960700716,0.6196271556809574,0.18960320204957082,2.423403874263171,2.7301087419657093,0.18771092189221092,8.8938612759237,2.2124188351698533,0.4784013716225684,1.0469852116445466,3.1956873599697566,1.8245594111501025
