name,display_name,data_type,chart_type
"China, CPI, Meat, % MoM","China, CPI, Meat, % MoM",None,line
"China, CPI, Meat, % YoY","China, CPI, Meat, % YoY",None,line
"China, CPI, Meat, Poultry and Processed Products, % MoM","China, CPI, Meat, Poultry and Processed Products, % MoM",None,line
"China, CPI, Meat, Poultry and Processed Products, % YoY","China, CPI, Meat, Poultry and Processed Products, % YoY",None,line
"China, CPI, Medical Services, % MoM","China, CPI, Medical Services, % MoM",None,line
"China, CPI, Medical Services, % YoY","China, CPI, Medical Services, % YoY",None,line
"China, CPI, Medical services , % MoM","China, CPI, Medical services , % MoM",None,line
"China, CPI, Medical services , % YoY","China, CPI, Medical services , % YoY",None,line
"China, CPI, Milk and Other Dairy Products, % MoM","China, CPI, Milk and Other Dairy Products, % MoM",None,line
"China, CPI, Milk and Other Dairy Products, % YoY","China, CPI, Milk and Other Dairy Products, % YoY",None,line
"China, CPI, Miscellanous Goods and Services, % MoM","China, CPI, Miscellanous Goods and Services, % MoM",None,line
"China, CPI, Miscellanous Goods and Services, % YoY","China, CPI, Miscellanous Goods and Services, % YoY",None,line
"China, CPI, Mutton, % MoM","China, CPI, Mutton, % MoM",None,line
"China, CPI, Mutton, % YoY","China, CPI, Mutton, % YoY",None,line
"China, CPI, Pork, % MoM","China, CPI, Pork, % MoM",None,line
"China, CPI, Pork, % YoY","China, CPI, Pork, % YoY",None,line
"China, CPI, Postal Services, % MoM","China, CPI, Postal Services, % MoM",None,line
"China, CPI, Postal Services, % YoY","China, CPI, Postal Services, % YoY",None,line
"China, CPI, Postal services, % MoM","China, CPI, Postal services, % MoM",None,line
"China, CPI, Postal services, % YoY","China, CPI, Postal services, % YoY",None,line
"China, CPI, Recreation, Education and Culture Articles, % MoM","China, CPI, Recreation, Education and Culture Articles, % MoM",None,line
"China, CPI, Recreation, Education and Culture Articles, % YoY","China, CPI, Recreation, Education and Culture Articles, % YoY",None,line
"China, CPI, Rent of Rental Housing, % MoM","China, CPI, Rent of Rental Housing, % MoM",None,line
"China, CPI, Rent of Rental Housing, % YoY","China, CPI, Rent of Rental Housing, % YoY",None,line
"China, CPI, Rental, % MoM","China, CPI, Rental, % MoM",None,line
"China, CPI, Rental, % YoY","China, CPI, Rental, % YoY",None,line
"China, CPI, Residence, % MoM","China, CPI, Residence, % MoM",None,line
"China, CPI, Residence, % YoY","China, CPI, Residence, % YoY",None,line
"China, CPI, Rural, % MoM","China, CPI, Rural, % MoM",None,line
"China, CPI, Rural, % YoY","China, CPI, Rural, % YoY",None,line
"China, CPI, Services, % MoM","China, CPI, Services, % MoM",None,line
"China, CPI, Services, % YoY","China, CPI, Services, % YoY",None,line
"China, CPI, Shoes, % MoM","China, CPI, Shoes, % MoM",None,line
"China, CPI, Shoes, % YoY","China, CPI, Shoes, % YoY",None,line
"China, CPI, Tobacco, % MoM","China, CPI, Tobacco, % MoM",None,line
"China, CPI, Tobacco, % YoY","China, CPI, Tobacco, % YoY",None,line
"China, CPI, Tobacco, Liquor and Articles, % MoM","China, CPI, Tobacco, Liquor and Articles, % MoM",None,line
"China, CPI, Tobacco, Liquor and Articles, % YoY","China, CPI, Tobacco, Liquor and Articles, % YoY",None,line
"China, CPI, Touring, % MoM","China, CPI, Touring, % MoM",None,line
"China, CPI, Touring, % YoY","China, CPI, Touring, % YoY",None,line
"China, CPI, Traditional Chinese Medicine, % MoM","China, CPI, Traditional Chinese Medicine, % MoM",None,line
"China, CPI, Traditional Chinese Medicine, % YoY","China, CPI, Traditional Chinese Medicine, % YoY",None,line
"China, CPI, Transport Facility, % MoM","China, CPI, Transport Facility, % MoM",None,line
"China, CPI, Transport Facility, % YoY","China, CPI, Transport Facility, % YoY",None,line
"China, CPI, Transport goods, % MoM","China, CPI, Transport goods, % MoM",None,line
"China, CPI, Transport goods, % YoY","China, CPI, Transport goods, % YoY",None,line
"China, CPI, Transport use and maintenance, % MoM","China, CPI, Transport use and maintenance, % MoM",None,line
"China, CPI, Transport use and maintenance, % YoY","China, CPI, Transport use and maintenance, % YoY",None,line
"China, CPI, Transportation and Communication, % MoM","China, CPI, Transportation and Communication, % MoM",None,line
"China, CPI, Transportation and Communication, % YoY","China, CPI, Transportation and Communication, % YoY",None,line
"China, CPI, Travel, % MoM","China, CPI, Travel, % MoM",None,line
"China, CPI, Travel, % YoY","China, CPI, Travel, % YoY",None,line
"China, CPI, Urban, % MoM","China, CPI, Urban, % MoM",None,line
"China, CPI, Urban, % YoY","China, CPI, Urban, % YoY",None,line
"China, CPI, Use and Maintenance of Transport Facility, % MoM","China, CPI, Use and Maintenance of Transport Facility, % MoM",None,line
"China, CPI, Use and Maintenance of Transport Facility, % YoY","China, CPI, Use and Maintenance of Transport Facility, % YoY",None,line
"China, CPI, Water, Electricity and Fuels, % MoM","China, CPI, Water, Electricity and Fuels, % MoM",None,line
"China, CPI, Water, Electricity and Fuels, % YoY","China, CPI, Water, Electricity and Fuels, % YoY",None,line
"China, CPI, Western Medicine, % MoM","China, CPI, Western Medicine, % MoM",None,line
"China, CPI, Western Medicine, % YoY","China, CPI, Western Medicine, % YoY",None,line
"China, CPI, Western medicine, % MoM","China, CPI, Western medicine, % MoM",None,line
"China, CPI, Western medicine, % YoY","China, CPI, Western medicine, % YoY",None,line
"China, CPI, All items, Index, SA","China, CPI, All items, Index, SA",None,line
"China, CPI, Food, Index, SA","China, CPI, Food, Index, SA",None,line
"China, CPI, All items excluding food, Index, SA","China, CPI, All items excluding food, Index, SA",None,line
"China, CPI, All items excluding food and energy, Index, SA","China, CPI, All items excluding food and energy, Index, SA",None,line
"China, CPI, Services, Index, SA","China, CPI, Services, Index, SA",None,line
"China, CPI, All items, SA, % 3m/3m","China, CPI, All items, SA, % 3m/3m",None,line
"China, CPI, Food, SA, % 3m/3m","China, CPI, Food, SA, % 3m/3m",None,line
"China, CPI, All items excluding food, SA, % 3m/3m","China, CPI, All items excluding food, SA, % 3m/3m",None,line
"China, CPI, All items excluding food and energy, SA, % 3m/3m","China, CPI, All items excluding food and energy, SA, % 3m/3m",None,line
"China, CPI, Services, SA, % 3m/3m","China, CPI, Services, SA, % 3m/3m",None,line
"China, CPI, All items, SA, % MoM","China, CPI, All items, SA, % MoM",None,line
"China, CPI, Food, SA, % MoM","China, CPI, Food, SA, % MoM",None,line
"China, CPI, All items excluding food, SA, % MoM","China, CPI, All items excluding food, SA, % MoM",None,line
"China, CPI, All items excluding food and energy, SA, % MoM","China, CPI, All items excluding food and energy, SA, % MoM",None,line
