name,display_name,data_type,chart_type
"Japan, Exports, China, Group, Others, JPY bn","Japan, Exports, China, Group, Others, JPY bn",None,line
"Japan, Exports, China, Group, Raw materials, JPY bn","Japan, Exports, China, Group, Raw materials, JPY bn",None,line
"Japan, Exports, China, Group, Transport equipment, JPY bn","Japan, Exports, China, Group, Transport equipment, JPY bn",None,line
"Japan, Exports, China, IC, JPY bn","Japan, Exports, China, IC, JPY bn",None,line
"Japan, Exports, China, Semicon machinery, JPY bn","Japan, Exports, China, Semicon machinery, JPY bn",None,line
"Japan, Exports, China, Semiconductors, JPY bn","Japan, Exports, China, Semiconductors, JPY bn",None,line
"Japan, Exports, China, Ships, JPY bn","Japan, Exports, China, Ships, JPY bn",None,line
"Japan, Exports, China, Total, JPY bn","Japan, Exports, China, Total, JPY bn",None,line
"Japan, Imports, China, Group, Chemicals, JPY bn","Japan, Imports, China, Group, Chemicals, JPY bn",None,line
"Japan, Imports, China, Group, Electrical machinery, JPY bn","Japan, Imports, China, Group, Electrical machinery, JPY bn",None,line
"Japan, Imports, China, Group, Foodstuffs, JPY bn","Japan, Imports, China, Group, Foodstuffs, JPY bn",None,line
"Japan, Imports, China, Group, Machinery, JPY bn","Japan, Imports, China, Group, Machinery, JPY bn",None,line
"Japan, Imports, China, Group, Manufactured goods, JPY bn","Japan, Imports, China, Group, Manufactured goods, JPY bn",None,line
"Japan, Imports, China, Group, Mineral fuels, JPY bn","Japan, Imports, China, Group, Mineral fuels, JPY bn",None,line
"Japan, Imports, China, Group, Others, JPY bn","Japan, Imports, China, Group, Others, JPY bn",None,line
"Japan, Imports, China, Group, Raw materials, JPY bn","Japan, Imports, China, Group, Raw materials, JPY bn",None,line
"Japan, Imports, China, Group, Transport equipment, JPY bn","Japan, Imports, China, Group, Transport equipment, JPY bn",None,line
"Japan, Imports, China, IC, JPY bn","Japan, Imports, China, IC, JPY bn",None,line
"Japan, Imports, China, Semiconductors, JPY bn","Japan, Imports, China, Semiconductors, JPY bn",None,line
"Japan, Imports, China, Total, JPY bn","Japan, Imports, China, Total, JPY bn",None,line
"Japan, Exports, US, Passenger cars, JPY bn","Japan, Exports, US, Passenger cars, JPY bn",None,line
"Japan, Exports, US, Passenger cars, Volume, mn","Japan, Exports, US, Passenger cars, Volume, mn",None,line
"Japan, Exports, US, Group, Chemicals, JPY bn","Japan, Exports, US, Group, Chemicals, JPY bn",None,line
"Japan, Exports, US, Group, Electrical machinery, JPY bn","Japan, Exports, US, Group, Electrical machinery, JPY bn",None,line
"Japan, Exports, US, Group, Foodstuffs, JPY bn","Japan, Exports, US, Group, Foodstuffs, JPY bn",None,line
"Japan, Exports, US, Group, Machinery, JPY bn","Japan, Exports, US, Group, Machinery, JPY bn",None,line
"Japan, Exports, US, Group, Manufactured goods, JPY bn","Japan, Exports, US, Group, Manufactured goods, JPY bn",None,line
"Japan, Exports, US, Group, Mineral fuels, JPY bn","Japan, Exports, US, Group, Mineral fuels, JPY bn",None,line
"Japan, Exports, US, Group, Others, JPY bn","Japan, Exports, US, Group, Others, JPY bn",None,line
"Japan, Exports, US, Group, Raw materials, JPY bn","Japan, Exports, US, Group, Raw materials, JPY bn",None,line
"Japan, Exports, US, Group, Transport equipment, JPY bn","Japan, Exports, US, Group, Transport equipment, JPY bn",None,line
"Japan, Exports, US, IC, JPY bn","Japan, Exports, US, IC, JPY bn",None,line
"Japan, Exports, US, IC, Volume, MNO","Japan, Exports, US, IC, Volume, MNO",None,line
"Japan, Exports, US, Semicon machinery, JPY bn","Japan, Exports, US, Semicon machinery, JPY bn",None,line
"Japan, Exports, US, Semicon machinery, Volume, MT","Japan, Exports, US, Semicon machinery, Volume, MT",None,line
"Japan, Exports, US, Semiconductors, JPY bn","Japan, Exports, US, Semiconductors, JPY bn",None,line
"Japan, Exports, US, Ships, JPY bn","Japan, Exports, US, Ships, JPY bn",None,line
"Japan, Exports, US, Ships, Volume, GT","Japan, Exports, US, Ships, Volume, GT",None,line
"Japan, Exports, US, Total, JPY bn","Japan, Exports, US, Total, JPY bn",None,line
"Japan, Exports, China and Hong Kong, JPY bn","Japan, Exports, China and Hong Kong, JPY bn",None,line
"Japan, Exports, North Asia, JPY bn","Japan, Exports, North Asia, JPY bn",None,line
"Japan, Exports, DM excl Japan, JPY bn","Japan, Exports, DM excl Japan, JPY bn",None,line
"Japan, Exports, ROW, JPY bn","Japan, Exports, ROW, JPY bn",None,line
"Japan, Exports, Excluding DM, CN, NA, ASEAN, ME, JPY bn","Japan, Exports, Excluding DM, CN, NA, ASEAN, ME, JPY bn",None,line
"Japan, Imports, China and Hong Kong, JPY bn","Japan, Imports, China and Hong Kong, JPY bn",None,line
"Japan, Imports, North Asia, JPY bn","Japan, Imports, North Asia, JPY bn",None,line
"Japan, Imports, DM excl Japan, JPY bn","Japan, Imports, DM excl Japan, JPY bn",None,line
"Japan, Imports, ROW, JPY bn","Japan, Imports, ROW, JPY bn",None,line
"Japan, Imports, Excluding DM, CN, NA, ASEAN, ME, JPY bn","Japan, Imports, Excluding DM, CN, NA, ASEAN, ME, JPY bn",None,line
"Japan, Trade balance, ASEAN, JPY bn","Japan, Trade balance, ASEAN, JPY bn",None,line
"Japan, Trade balance, Africa, JPY bn","Japan, Trade balance, Africa, JPY bn",None,line
"Japan, Trade balance, Asia, JPY bn","Japan, Trade balance, Asia, JPY bn",None,line
"Japan, Trade balance, Central and Eastern Europe, JPY bn","Japan, Trade balance, Central and Eastern Europe, JPY bn",None,line
"Japan, Trade balance, China, JPY bn","Japan, Trade balance, China, JPY bn",None,line
"Japan, Trade balance, Developed Europe, JPY bn","Japan, Trade balance, Developed Europe, JPY bn",None,line
"Japan, Trade balance, EU, JPY bn","Japan, Trade balance, EU, JPY bn",None,line
