raw_data_name,data_type,cleaned_name
"Exports, Asia Nies, Manufs, Value Index",None,"Exports, Asia Nies, Manufs, Value, index"
"Exports, Asia Nies, Metals, Quantum Index",None,"Exports, Asia Nies, Metals, Volume, index"
"Exports, Asia Nies, Metals, Unit Index",None,"Exports, Asia Nies, Metals, Price, index"
"Exports, Asia Nies, Metals, Value Index",None,"Exports, Asia Nies, Metals, Value, index"
"Exports, Asia Nies, Miscellaneous, Quantum Index",None,"Exports, Asia Nies, Miscellaneous, Volume, index"
"Exports, Asia Nies, Miscellaneous, Unit Index",None,"Exports, Asia Nies, Miscellaneous, Price, index"
"Exports, Asia Nies, Miscellaneous, Value Index",None,"Exports, Asia Nies, Miscellaneous, Value, index"
"Exports, Asia Nies, Non-Mtl.Min.Manufs, Quantum Index",None,"Exports, Asia Nies, Non-Mtl.Min.Manufs, Volume, index"
"Exports, Asia Nies, Non-Mtl.Min.Manufs, Unit Index",None,"Exports, Asia Nies, Non-Mtl.Min.Manufs, Price, index"
"Exports, Asia Nies, Non-Mtl.Min.Manufs, Value Index",None,"Exports, Asia Nies, Non-Mtl.Min.Manufs, Value, index"
"Exports, Asia Nies, Raw Materials, Quantum Index",None,"Exports, Asia Nies, Raw Materials, Volume, index"
"Exports, Asia Nies, Raw Materials, Unit Index",None,"Exports, Asia Nies, Raw Materials, Price, index"
"Exports, Asia Nies, Raw Materials, Value Index",None,"Exports, Asia Nies, Raw Materials, Value, index"
"Exports, Asia Nies, Textiles, Quantum Index",None,"Exports, Asia Nies, Textiles, Volume, index"
"Exports, Asia Nies, Textiles, Unit Index",None,"Exports, Asia Nies, Textiles, Price, index"
"Exports, Asia Nies, Textiles, Value Index",None,"Exports, Asia Nies, Textiles, Value, index"
"Exports, Asia Nies, Total, Quantum Index",None,"Exports, Asia Nies, Total, Volume, index"
"Exports, Asia Nies, Total, Unit Index",None,"Exports, Asia Nies, Total, Price, index"
"Exports, Asia Nies, Total, Value Index",None,"Exports, Asia Nies, Total, Value, index"
"Exports, Asia, Chemicals, Quantum Index",None,"Exports, Asia, Chemicals, Volume, index"
"Exports, Asia, Chemicals, Unit Index",None,"Exports, Asia, Chemicals, Price, index"
"Exports, Asia, Chemicals, Value Index",None,"Exports, Asia, Chemicals, Value, index"
"Exports, Asia, Food-stuff, Quantum Index",None,"Exports, Asia, Food-stuff, Volume, index"
"Exports, Asia, Food-stuff, Unit Index",None,"Exports, Asia, Food-stuff, Price, index"
"Exports, Asia, Food-stuff, Value Index",None,"Exports, Asia, Food-stuff, Value, index"
"Exports, Asia, Machinery & Equipment, Quantum Index",None,"Exports, Asia, Machinery & Equipment, Volume, index"
"Exports, Asia, Machinery & Equipment, Unit Index",None,"Exports, Asia, Machinery & Equipment, Price, index"
"Exports, Asia, Machinery & Equipment, Value Index",None,"Exports, Asia, Machinery & Equipment, Value, index"
"Exports, Asia, Manufs, Quantum Index",None,"Exports, Asia, Manufs, Volume, index"
"Exports, Asia, Manufs, Unit Index",None,"Exports, Asia, Manufs, Price, index"
"Exports, Asia, Manufs, Value Index",None,"Exports, Asia, Manufs, Value, index"
"Exports, Asia, Metals, Quantum Index",None,"Exports, Asia, Metals, Volume, index"
"Exports, Asia, Metals, Unit Index",None,"Exports, Asia, Metals, Price, index"
"Exports, Asia, Metals, Value Index",None,"Exports, Asia, Metals, Value, index"
"Exports, Asia, Miscellaneous, Quantum Index",None,"Exports, Asia, Miscellaneous, Volume, index"
"Exports, Asia, Miscellaneous, Unit Index",None,"Exports, Asia, Miscellaneous, Price, index"
"Exports, Asia, Miscellaneous, Value Index",None,"Exports, Asia, Miscellaneous, Value, index"
