raw_data_name,data_type,cleaned_name
"Taiwan, Exports, HS, 848620, USD bn",b,"Taiwan, Exports, HS, 848620, Value, USD"
"Taiwan, Imports, HS, 847180, USD bn",b,"Taiwan, Imports, HS, 847180, Value, USD"
"Taiwan, Imports, HS, 848620, USD bn",b,"Taiwan, Imports, HS, 848620, Value, USD"
"Taiwan, Exports, HS, 8401, USD bn",b,"Taiwan, Exports, HS, 8401, Value, USD"
"Taiwan, Exports, HS, 8402, USD bn",b,"Taiwan, Exports, HS, 8402, Value, USD"
"Taiwan, Exports, HS, 8403, USD bn",b,"Taiwan, Exports, HS, 8403, Value, USD"
"Taiwan, Exports, HS, 8404, USD bn",b,"Taiwan, Exports, HS, 8404, Value, USD"
"Taiwan, Exports, HS, 8405, USD bn",b,"Taiwan, Exports, HS, 8405, Value, USD"
"Taiwan, Exports, HS, 8406, USD bn",b,"Taiwan, Exports, HS, 8406, Value, USD"
"Taiwan, Exports, HS, 8407, USD bn",b,"Taiwan, Exports, HS, 8407, Value, USD"
"Taiwan, Exports, HS, 8408, USD bn",b,"Taiwan, Exports, HS, 8408, Value, USD"
"Taiwan, Exports, HS, 8409, USD bn",b,"Taiwan, Exports, HS, 8409, Value, USD"
"Taiwan, Exports, HS, 8410, USD bn",b,"Taiwan, Exports, HS, 8410, Value, USD"
"Taiwan, Exports, HS, 8411, USD bn",b,"Taiwan, Exports, HS, 8411, Value, USD"
"Taiwan, Exports, HS, 8412, USD bn",b,"Taiwan, Exports, HS, 8412, Value, USD"
"Taiwan, Exports, HS, 8413, USD bn",b,"Taiwan, Exports, HS, 8413, Value, USD"
"Taiwan, Exports, HS, 8414, USD bn",b,"Taiwan, Exports, HS, 8414, Value, USD"
"Taiwan, Exports, HS, 8415, USD bn",b,"Taiwan, Exports, HS, 8415, Value, USD"
"Taiwan, Exports, HS, 8416, USD bn",b,"Taiwan, Exports, HS, 8416, Value, USD"
"Taiwan, Exports, HS, 8417, USD bn",b,"Taiwan, Exports, HS, 8417, Value, USD"
"Taiwan, Exports, HS, 8418, USD bn",b,"Taiwan, Exports, HS, 8418, Value, USD"
"Taiwan, Exports, HS, 8419, USD bn",b,"Taiwan, Exports, HS, 8419, Value, USD"
"Taiwan, Exports, HS, 8420, USD bn",b,"Taiwan, Exports, HS, 8420, Value, USD"
"Taiwan, Exports, HS, 8421, USD bn",b,"Taiwan, Exports, HS, 8421, Value, USD"
"Taiwan, Exports, HS, 8422, USD bn",b,"Taiwan, Exports, HS, 8422, Value, USD"
"Taiwan, Exports, HS, 8423, USD bn",b,"Taiwan, Exports, HS, 8423, Value, USD"
"Taiwan, Exports, HS, 8424, USD bn",b,"Taiwan, Exports, HS, 8424, Value, USD"
"Taiwan, Exports, HS, 8425, USD bn",b,"Taiwan, Exports, HS, 8425, Value, USD"
"Taiwan, Exports, HS, 8426, USD bn",b,"Taiwan, Exports, HS, 8426, Value, USD"
"Taiwan, Exports, HS, 8427, USD bn",b,"Taiwan, Exports, HS, 8427, Value, USD"
"Taiwan, Exports, HS, 8428, USD bn",b,"Taiwan, Exports, HS, 8428, Value, USD"
"Taiwan, Exports, HS, 8429, USD bn",b,"Taiwan, Exports, HS, 8429, Value, USD"
"Taiwan, Exports, HS, 8430, USD bn",b,"Taiwan, Exports, HS, 8430, Value, USD"
"Taiwan, Exports, HS, 8431, USD bn",b,"Taiwan, Exports, HS, 8431, Value, USD"
"Taiwan, Exports, HS, 8432, USD bn",b,"Taiwan, Exports, HS, 8432, Value, USD"
"Taiwan, Exports, HS, 8433, USD bn",b,"Taiwan, Exports, HS, 8433, Value, USD"
"Taiwan, Exports, HS, 8434, USD bn",b,"Taiwan, Exports, HS, 8434, Value, USD"
"Taiwan, Exports, HS, 8435, USD bn",b,"Taiwan, Exports, HS, 8435, Value, USD"
"Taiwan, Exports, HS, 8436, USD bn",b,"Taiwan, Exports, HS, 8436, Value, USD"
"Taiwan, Exports, HS, 8437, USD bn",b,"Taiwan, Exports, HS, 8437, Value, USD"
"Taiwan, Exports, HS, 8438, USD bn",b,"Taiwan, Exports, HS, 8438, Value, USD"
"Taiwan, Exports, HS, 8439, USD bn",b,"Taiwan, Exports, HS, 8439, Value, USD"
"Taiwan, Exports, HS, 8440, USD bn",b,"Taiwan, Exports, HS, 8440, Value, USD"
"Taiwan, Exports, HS, 8441, USD bn",b,"Taiwan, Exports, HS, 8441, Value, USD"
"Taiwan, Exports, HS, 8442, USD bn",b,"Taiwan, Exports, HS, 8442, Value, USD"
"Taiwan, Exports, HS, 8443, USD bn",b,"Taiwan, Exports, HS, 8443, Value, USD"
"Taiwan, Exports, HS, 8444, USD bn",b,"Taiwan, Exports, HS, 8444, Value, USD"
"Taiwan, Exports, HS, 8445, USD bn",b,"Taiwan, Exports, HS, 8445, Value, USD"
"Taiwan, Exports, HS, 8446, USD bn",b,"Taiwan, Exports, HS, 8446, Value, USD"
"Taiwan, Exports, HS, 8447, USD bn",b,"Taiwan, Exports, HS, 8447, Value, USD"
"Taiwan, Exports, HS, 8448, USD bn",b,"Taiwan, Exports, HS, 8448, Value, USD"
"Taiwan, Exports, HS, 8449, USD bn",b,"Taiwan, Exports, HS, 8449, Value, USD"
"Taiwan, Exports, HS, 8450, USD bn",b,"Taiwan, Exports, HS, 8450, Value, USD"
"Taiwan, Exports, HS, 8451, USD bn",b,"Taiwan, Exports, HS, 8451, Value, USD"
"Taiwan, Exports, HS, 8452, USD bn",b,"Taiwan, Exports, HS, 8452, Value, USD"
"Taiwan, Exports, HS, 8453, USD bn",b,"Taiwan, Exports, HS, 8453, Value, USD"
"Taiwan, Exports, HS, 8454, USD bn",b,"Taiwan, Exports, HS, 8454, Value, USD"
"Taiwan, Exports, HS, 8455, USD bn",b,"Taiwan, Exports, HS, 8455, Value, USD"
"Taiwan, Exports, HS, 8456, USD bn",b,"Taiwan, Exports, HS, 8456, Value, USD"
"Taiwan, Exports, HS, 8457, USD bn",b,"Taiwan, Exports, HS, 8457, Value, USD"
"Taiwan, Exports, HS, 8458, USD bn",b,"Taiwan, Exports, HS, 8458, Value, USD"
"Taiwan, Exports, HS, 8459, USD bn",b,"Taiwan, Exports, HS, 8459, Value, USD"
"Taiwan, Exports, HS, 8460, USD bn",b,"Taiwan, Exports, HS, 8460, Value, USD"
"Taiwan, Exports, HS, 8461, USD bn",b,"Taiwan, Exports, HS, 8461, Value, USD"
"Taiwan, Exports, HS, 8462, USD bn",b,"Taiwan, Exports, HS, 8462, Value, USD"
"Taiwan, Exports, HS, 8463, USD bn",b,"Taiwan, Exports, HS, 8463, Value, USD"
"Taiwan, Exports, HS, 8464, USD bn",b,"Taiwan, Exports, HS, 8464, Value, USD"
"Taiwan, Exports, HS, 8465, USD bn",b,"Taiwan, Exports, HS, 8465, Value, USD"
"Taiwan, Exports, HS, 8466, USD bn",b,"Taiwan, Exports, HS, 8466, Value, USD"
"Taiwan, Exports, HS, 8467, USD bn",b,"Taiwan, Exports, HS, 8467, Value, USD"
"Taiwan, Exports, HS, 8468, USD bn",b,"Taiwan, Exports, HS, 8468, Value, USD"
"Taiwan, Exports, HS, 8469, USD bn",b,"Taiwan, Exports, HS, 8469, Value, USD"
"Taiwan, Exports, HS, 8470, USD bn",b,"Taiwan, Exports, HS, 8470, Value, USD"
"Taiwan, Exports, HS, 8471, USD bn",b,"Taiwan, Exports, HS, 8471, Value, USD"
"Taiwan, Exports, HS, 8472, USD bn",b,"Taiwan, Exports, HS, 8472, Value, USD"
"Taiwan, Exports, HS, 8473, USD bn",b,"Taiwan, Exports, HS, 8473, Value, USD"
"Taiwan, Exports, HS, 8474, USD bn",b,"Taiwan, Exports, HS, 8474, Value, USD"
"Taiwan, Exports, HS, 8475, USD bn",b,"Taiwan, Exports, HS, 8475, Value, USD"
"Taiwan, Exports, HS, 8476, USD bn",b,"Taiwan, Exports, HS, 8476, Value, USD"
"Taiwan, Exports, HS, 8477, USD bn",b,"Taiwan, Exports, HS, 8477, Value, USD"
"Taiwan, Exports, HS, 8478, USD bn",b,"Taiwan, Exports, HS, 8478, Value, USD"
"Taiwan, Exports, HS, 8479, USD bn",b,"Taiwan, Exports, HS, 8479, Value, USD"
"Taiwan, Exports, HS, 8480, USD bn",b,"Taiwan, Exports, HS, 8480, Value, USD"
"Taiwan, Exports, HS, 8481, USD bn",b,"Taiwan, Exports, HS, 8481, Value, USD"
"Taiwan, Exports, HS, 8482, USD bn",b,"Taiwan, Exports, HS, 8482, Value, USD"
"Taiwan, Exports, HS, 8483, USD bn",b,"Taiwan, Exports, HS, 8483, Value, USD"
"Taiwan, Exports, HS, 8484, USD bn",b,"Taiwan, Exports, HS, 8484, Value, USD"
"Taiwan, Exports, HS, 8485, USD bn",b,"Taiwan, Exports, HS, 8485, Value, USD"
"Taiwan, Exports, HS, 8486, USD bn",b,"Taiwan, Exports, HS, 8486, Value, USD"
"Taiwan, Exports, HS, 8487, USD bn",b,"Taiwan, Exports, HS, 8487, Value, USD"
