name,display_name,data_type,chart_type
"Exports, Tech, total, Value, LCU, % YoY","TW, Exports, Tech, total, Value, LCU, % YoY",p,line
"Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, LCU, % YoY","TW, Exports, Office Machines and Automatic Data-processing Machines SITC 75, Value, LCU, % YoY",p,line
"Exports, Telecommunications equipment SITC 76, Value, LCU, % YoY","TW, Exports, Telecommunications equipment SITC 76, Value, LCU, % YoY",p,line
"Exports, Electrical machinery SITC 77, Value, LCU, % YoY","TW, Exports, Electrical machinery SITC 77, Value, LCU, % YoY",p,line
"Exports, Semiconductors HS 776, Value, LCU, % YoY","TW, Exports, Semiconductors HS 776, Value, LCU, % YoY",p,line
"Exports, Semiconductor manufacturing equipment HS 848620, Value, LCU, % YoY","TW, Exports, Semiconductor manufacturing equipment HS 848620, Value, LCU, % YoY",p,line
"Exports, Non-tech exports, total, Value, LCU, % YoY","TW, Exports, Non-tech exports, total, Value, LCU, % YoY",p,line
"Exports, EU, Value, LCU, % YoY","TW, Exports, EU, Value, LCU, % YoY",p,line
"Exports, DM excl Japan, Value, LCU, % YoY","TW, Exports, DM excl Japan, Value, LCU, % YoY",p,line
"Exports, China and Hong Kong, Value, LCU, % YoY","TW, Exports, China and Hong Kong, Value, LCU, % YoY",p,line
"Exports, North Asia, Value, LCU, % YoY","TW, Exports, North Asia, Value, LCU, % YoY",p,line
"Exports, US, Value, LCU, % YoY","TW, Exports, US, Value, LCU, % YoY",p,line
"Exports, ASEAN, Value, LCU, % YoY","TW, Exports, ASEAN, Value, LCU, % YoY",p,line
"Exports, EM, Value, LCU, % YoY","TW, Exports, EM, Value, LCU, % YoY",p,line
"Imports, All, Value, LCU, % YoY","TW, Imports, All, Value, LCU, % YoY",p,line
"Imports, Fuels, Value, LCU, % YoY","TW, Imports, Fuels, Value, LCU, % YoY",p,line
"Imports, Capital goods, incl parts, Value, LCU, % YoY","TW, Imports, Capital goods, incl parts, Value, LCU, % YoY",p,line
"Imports, Capital goods, Value, LCU, % YoY","TW, Imports, Capital goods, Value, LCU, % YoY",p,line
"Imports, Capital goods, parts, Value, LCU, % YoY","TW, Imports, Capital goods, parts, Value, LCU, % YoY",p,line
"Imports, Semi mfg equipment, Value, LCU, % YoY","TW, Imports, Semi mfg equipment, Value, LCU, % YoY",p,line
